﻿Code;Locatie;Datum;Uur5Minuten;Ordening;Totaal;Tegenrichting;Hoofdrichting
COU;Coupure-Links;2021-03-01;15:55:00;2021-03-01T15:55:00+01:00;70;17;53
COU;Coupure-Links;2021-03-01;16:00:00;2021-03-01T16:00:00+01:00;51;19;32
COU;Coupure-Links;2021-03-01;16:05:00;2021-03-01T16:05:00+01:00;52;15;37
COU;Coupure-Links;2021-03-01;16:10:00;2021-03-01T16:10:00+01:00;64;24;40
COU;Coupure-Links;2021-03-01;16:15:00;2021-03-01T16:15:00+01:00;49;15;34
COU;Coupure-Links;2021-03-01;16:20:00;2021-03-01T16:20:00+01:00;75;27;48
COU;Coupure-Links;2021-03-01;16:25:00;2021-03-01T16:25:00+01:00;53;28;25
COU;Coupure-Links;2021-03-01;16:30:00;2021-03-01T16:30:00+01:00;64;18;46
COU;Coupure-Links;2021-03-01;16:35:00;2021-03-01T16:35:00+01:00;64;25;39
COU;Coupure-Links;2021-03-01;16:40:00;2021-03-01T16:40:00+01:00;58;21;37
COU;Coupure-Links;2021-03-01;16:45:00;2021-03-01T16:45:00+01:00;58;21;37
COU;Coupure-Links;2021-03-01;16:50:00;2021-03-01T16:50:00+01:00;65;31;34
COU;Coupure-Links;2021-03-01;16:55:00;2021-03-01T16:55:00+01:00;64;26;38
COU;Coupure-Links;2021-03-01;17:00:00;2021-03-01T17:00:00+01:00;51;27;24
COU;Coupure-Links;2021-03-01;17:05:00;2021-03-01T17:05:00+01:00;68;31;37
COU;Coupure-Links;2021-03-01;17:10:00;2021-03-01T17:10:00+01:00;78;34;44
COU;Coupure-Links;2021-03-01;17:15:00;2021-03-01T17:15:00+01:00;63;28;35
COU;Coupure-Links;2021-03-01;17:20:00;2021-03-01T17:20:00+01:00;85;37;48
COU;Coupure-Links;2021-03-01;17:25:00;2021-03-01T17:25:00+01:00;58;20;38
COU;Coupure-Links;2021-03-01;17:30:00;2021-03-01T17:30:00+01:00;74;24;50
COU;Coupure-Links;2021-03-01;17:35:00;2021-03-01T17:35:00+01:00;62;27;35
COU;Coupure-Links;2021-03-01;17:40:00;2021-03-01T17:40:00+01:00;57;25;32
COU;Coupure-Links;2021-03-01;17:45:00;2021-03-01T17:45:00+01:00;63;29;34
COU;Coupure-Links;2021-03-01;17:50:00;2021-03-01T17:50:00+01:00;53;21;32
COU;Coupure-Links;2021-03-01;17:55:00;2021-03-01T17:55:00+01:00;51;21;30
COU;Coupure-Links;2021-03-01;18:00:00;2021-03-01T18:00:00+01:00;49;21;28
COU;Coupure-Links;2021-03-01;18:05:00;2021-03-01T18:05:00+01:00;71;31;40
COU;Coupure-Links;2021-03-01;18:10:00;2021-03-01T18:10:00+01:00;57;19;38
COU;Coupure-Links;2021-03-01;18:15:00;2021-03-01T18:15:00+01:00;52;25;27
COU;Coupure-Links;2021-03-01;18:20:00;2021-03-01T18:20:00+01:00;63;26;37
COU;Coupure-Links;2021-03-01;18:25:00;2021-03-01T18:25:00+01:00;50;21;29
COU;Coupure-Links;2021-03-01;18:30:00;2021-03-01T18:30:00+01:00;36;12;24
COU;Coupure-Links;2021-03-01;18:35:00;2021-03-01T18:35:00+01:00;39;11;28
COU;Coupure-Links;2021-03-01;18:40:00;2021-03-01T18:40:00+01:00;27;9;18
COU;Coupure-Links;2021-03-01;18:45:00;2021-03-01T18:45:00+01:00;49;22;27
COU;Coupure-Links;2021-03-01;18:50:00;2021-03-01T18:50:00+01:00;41;17;24
COU;Coupure-Links;2021-03-01;18:55:00;2021-03-01T18:55:00+01:00;29;13;16
COU;Coupure-Links;2021-03-01;19:00:00;2021-03-01T19:00:00+01:00;46;14;32
COU;Coupure-Links;2021-03-01;19:05:00;2021-03-01T19:05:00+01:00;34;12;22
COU;Coupure-Links;2021-03-01;19:10:00;2021-03-01T19:10:00+01:00;35;15;20
COU;Coupure-Links;2021-03-01;19:15:00;2021-03-01T19:15:00+01:00;36;18;18
COU;Coupure-Links;2021-03-01;19:20:00;2021-03-01T19:20:00+01:00;19;11;8
